timestamp,status,facility_pool_pct,k,L,U,cost_S_L,cost_S_U,final_cost_S_I,theoretical_bound,cost_as_pct_of_bound,min_cluster_size,max_cluster_size,lower_bound_violated,num_lb_violations,upper_bound_violation_factor,all_clients_assigned
2025-08-29T03:25:37.195900,SUCCESS,0.05,10,2260,4973,39378.10503574249,45546.61115502862,48824.29827681565,397582.4881566853,12.28029395941962,2561,4973,0,0,1.0,1
2025-08-29T03:25:37.866345,SUCCESS,0.05,10,2260,5651,35168.83988985907,34621.679482988475,39219.26295438312,312689.4361606374,12.5425608987427,2399,5651,0,0,1.0,1
2025-08-29T03:25:38.456302,SUCCESS,0.05,10,2260,6781,39917.882346503015,35563.8990752273,42437.22029971193,328783.05821959715,12.907362237432482,2260,6774,0,0,0.998967703878484,1
2025-08-29T03:25:39.046821,SUCCESS,0.05,10,3390,4973,37677.35565740475,41256.1289658886,44498.34255691949,364147.61407602974,12.219863823583575,3390,4973,0,0,1.0,1
2025-08-29T03:25:39.744673,SUCCESS,0.05,10,3390,5651,39730.9081870836,42664.19751872891,44469.25890420213,378111.1990052696,11.760894419734543,3390,6854,0,0,1.2128826756326314,1
2025-08-29T03:25:40.762324,SUCCESS,0.05,10,3390,6781,43309.179971110316,46778.856543554,51964.547172410144,414070.3557470986,12.549690276342428,3390,8911,0,0,1.3141129626898687,1
2025-08-29T03:25:42.206538,SUCCESS,0.05,10,4068,4973,70598.36469133424,57471.73968686127,72075.93223437558,543498.9071906974,13.26146773816535,4068,8699,0,0,1.7492459280112609,1
2025-08-29T03:25:44.130173,SUCCESS,0.05,10,4068,5651,59547.2924426453,44770.47832339298,52406.68487080608,432487.93314904143,12.117490652102425,4068,6719,0,0,1.1889930985666253,1
2025-08-29T03:25:44.815921,SUCCESS,0.05,10,4068,6781,37445.2783328771,36180.786409718996,39775.01318507479,328156.0615337872,12.120761383826984,4068,8355,0,0,1.2321191564665979,1
2025-08-29T03:25:45.262340,SUCCESS,0.1,10,2260,4973,36705.515272516386,46927.420993164196,50671.28276904164,401902.97749718215,12.607839604621219,2283,4973,0,0,1.0,1
2025-08-29T03:25:45.771372,SUCCESS,0.1,10,2260,5651,37520.65077352805,38184.87075792367,39137.66613097676,342335.3968525218,11.43255020976907,3941,5651,0,0,1.0,1
2025-08-29T03:25:46.499701,SUCCESS,0.1,10,2260,6781,46769.58832422046,41874.69079079634,45828.56782044781,386662.01218401524,11.852358487866573,2260,6781,0,0,1.0,1
2025-08-29T03:25:47.127649,SUCCESS,0.1,10,3390,4973,37097.10190900048,42491.0929899605,42415.97033068484,371631.8547477245,11.413437731132642,4973,5427,0,0,1.0912929821033581,1
2025-08-29T03:25:47.690987,SUCCESS,0.1,10,3390,5651,39476.200224347034,37468.210190807375,39385.18299632784,341229.8717843457,11.542126364956387,3415,5787,0,0,1.0240665368961246,1
2025-08-29T03:25:48.714048,SUCCESS,0.1,10,3390,6781,48577.63714199939,37343.56491898429,44407.5506930151,358560.2287168888,12.384962730509166,3390,8770,0,0,1.2933195693850466,1
2025-08-29T03:25:49.613150,SUCCESS,0.1,10,4068,4973,41348.528217000145,41932.36621633281,45410.49741504823,376223.61994833,12.070081464126266,4502,5898,0,0,1.1860044238890006,1
2025-08-29T03:25:50.428626,SUCCESS,0.1,10,4068,5651,42150.71645620349,44572.69885136298,44163.55545262846,396310.3248719478,11.143680262909674,4068,7393,0,0,1.3082640240665369,1
2025-08-29T03:25:51.181939,SUCCESS,0.1,10,4068,6781,41376.99635296509,36574.34207450145,42529.5090520767,338774.38722744037,12.553932840124654,4068,8589,0,0,1.2666273411001328,1
2025-08-29T03:25:51.820427,SUCCESS,0.2,10,2260,4973,36700.830584187606,42766.82725619258,45697.221309998175,372769.4519617233,12.258842850323063,2260,4973,0,0,1.0,1
2025-08-29T03:25:52.483611,SUCCESS,0.2,10,2260,5651,38092.758405134446,42374.64889558612,43871.75441654499,372808.05907937174,11.76792007256597,2895,7711,0,0,1.3645372500442399,1
2025-08-29T03:25:53.105881,SUCCESS,0.2,10,2260,6781,38528.76803865984,36543.39795818207,38725.41824109731,332861.32178459415,11.634099760667848,2260,6781,0,0,1.0,1
2025-08-29T03:25:53.768392,SUCCESS,0.2,10,3390,4973,34612.8761119247,42029.97725457106,44426.70357246503,363435.59300584684,12.22409263909116,3390,7650,0,0,1.538306857027951,1
2025-08-29T03:25:54.465859,SUCCESS,0.2,10,3390,5651,38902.41911995429,42779.29654517639,47439.42926060139,377259.91405614326,12.574733623446017,4283,8740,0,0,1.5466289152362414,1
2025-08-29T03:25:55.330455,SUCCESS,0.2,10,3390,6781,44549.50797528099,34885.37827454061,42336.5122738617,333296.6638723463,12.702351047257023,4562,8550,0,0,1.2608759769945437,1
2025-08-29T03:25:56.644608,SUCCESS,0.2,10,4068,4973,52097.1799714619,45703.302208991976,56215.554382928116,424117.4754058677,13.254713055417374,4068,4928,0,0,0.9909511361351298,1
2025-08-29T03:25:57.487207,SUCCESS,0.2,10,4068,5651,39639.46191835801,42630.426510493075,47761.15168377578,377691.9094101675,12.645532110646279,4068,5651,0,0,1.0,1
2025-08-29T03:25:58.384948,SUCCESS,0.2,10,4068,6781,45628.569937573964,40163.04730271062,43733.199000884815,372398.4709941223,11.743656971560194,4068,8220,0,0,1.2122105884087893,1
2025-08-29T03:25:58.916221,SUCCESS,0.25,10,2260,4973,38622.97960455242,49388.05187229076,53232.694958417356,422962.3223151401,12.585682494611145,3212,7188,0,0,1.4454051880152825,1
2025-08-29T03:25:59.620497,SUCCESS,0.25,10,2260,5651,47497.28188210498,50187.340395266,48844.933057122704,446305.94653107197,10.94427117468893,2601,5651,0,0,1.0,1
2025-08-29T03:26:00.118348,SUCCESS,0.25,10,2260,6781,36293.325589676395,38716.51829553173,45256.751628088765,343602.27924807486,13.171260600228493,2260,6780,0,0,0.9998525291254977,1
2025-08-29T03:26:01.097808,SUCCESS,0.25,10,3390,4973,44196.71617892195,43776.85029254176,47250.163308935735,394831.3844056362,11.967175147452954,3390,4972,0,0,0.9997989141363363,1
2025-08-29T03:26:01.834143,SUCCESS,0.25,10,3390,5651,35923.21138142837,41334.77175759118,44786.09129587739,361189.82506599504,12.39959937622669,3390,7318,0,0,1.2949920368076446,1
2025-08-29T03:26:02.541019,SUCCESS,0.25,10,3390,6781,40357.66396933799,41055.74607496171,44680.35673532857,368105.55046340794,12.137919865397434,3771,8389,0,0,1.2371331661996756,1
2025-08-29T03:26:03.393350,SUCCESS,0.25,10,4068,4973,49261.835752903935,41077.68807543685,43326.15299656822,386067.4880338658,11.222429844381937,4068,4879,0,0,0.9810979288156043,1
2025-08-29T03:26:04.085741,SUCCESS,0.25,10,4068,5651,42391.26681212709,38116.46434196651,42173.70531185407,351597.78401801974,11.994872331076076,4068,9284,0,0,1.6428950628207397,1
2025-08-29T03:26:04.868992,SUCCESS,0.25,10,4068,6781,39191.04928956081,38764.18957498856,44339.73296422533,349731.42560404155,12.678223836374897,4691,8739,0,0,1.2887479722754756,1
2025-08-29T03:26:05.819891,SUCCESS,0.05,25,904,1989,30863.08328841425,32947.128468264054,35683.68288937615,292356.0658546769,12.205555846791851,1237,2456,0,0,1.2347913524384113,1
2025-08-29T03:26:06.969910,SUCCESS,0.05,25,904,2260,27456.132055009715,27430.65769010202,29359.831246997557,246926.86794073356,11.890091787842378,917,2260,0,0,1.0,1
2025-08-29T03:26:08.002553,SUCCESS,0.05,25,904,2712,29219.853609568025,29395.305939485686,33241.13427913153,264206.84879553586,12.58148092325046,904,2712,0,0,1.0,1
2025-08-29T03:26:09.186243,SUCCESS,0.05,25,1356,1989,29410.287933426607,34231.40321792408,38810.090086009506,298440.3983923218,13.00430179529207,1447,2426,0,0,1.2197083961789845,1
2025-08-29T03:26:10.294629,SUCCESS,0.05,25,1356,2260,29312.176951067406,31499.485154308906,33847.90319120275,279120.7499822972,12.12661659634746,1356,2835,0,0,1.2544247787610618,1
2025-08-29T03:26:11.466875,SUCCESS,0.05,25,1356,2712,29057.921890433252,28653.775073628145,31292.831921742476,258692.26929626352,12.096546992637348,1356,3676,0,0,1.3554572271386431,1
2025-08-29T03:26:12.616515,SUCCESS,0.05,25,1627,1989,30055.473087987928,35536.736184668014,37940.92135370127,308868.0994686519,12.283858844267607,1627,3084,0,0,1.55052790346908,1
2025-08-29T03:26:13.732386,SUCCESS,0.05,25,1627,2260,31925.5698281197,27746.372827932737,33285.95088636039,258075.74945176856,12.897744540922531,1627,2999,0,0,1.3269911504424778,1
2025-08-29T03:26:15.034485,SUCCESS,0.05,25,1627,2712,38779.49061881989,28407.72590457813,31965.487132548675,276413.0625696867,11.56439092833749,1627,3768,0,0,1.3893805309734513,1
2025-08-29T03:26:16.085640,SUCCESS,0.1,25,904,1989,30147.576342736065,30827.749350647235,34804.736463395086,276089.39814000274,12.606328492826039,904,1989,0,0,1.0,1
2025-08-29T03:26:16.964272,SUCCESS,0.1,25,904,2260,27887.324760874115,28414.037573586098,33446.00700256069,254672.9125368509,13.132926729190759,904,2260,0,0,1.0,1
2025-08-29T03:26:17.943361,SUCCESS,0.1,25,904,2712,27367.93347555226,28952.663531854054,34920.11167583899,257404.5116740829,13.566239165245744,944,2712,0,0,1.0,1
2025-08-29T03:26:19.119232,SUCCESS,0.1,25,1356,1989,31169.28983769277,32313.344955276163,37101.305050455725,288531.99436231866,12.858645063765946,1356,2327,0,0,1.1699346405228759,1
2025-08-29T03:26:20.251676,SUCCESS,0.1,25,1356,2260,29299.726661670004,29946.589700289038,32456.728316227585,268225.58122536325,12.100534247312313,1356,3613,0,0,1.5986725663716814,1
2025-08-29T03:26:21.479187,SUCCESS,0.1,25,1356,2712,29300.91574602893,28355.349599394616,33844.2320325879,257089.27868782016,13.164388731155322,1356,2712,0,0,1.0,1
2025-08-29T03:26:22.588484,SUCCESS,0.1,25,1627,1989,33614.35770660376,31073.85877047886,34157.87028127322,284745.72680655954,11.99592024237055,1627,3602,0,0,1.8109602815485168,1
2025-08-29T03:26:23.810161,SUCCESS,0.1,25,1627,2260,34438.98091881463,29314.633117228095,32740.58306635361,274080.3936582259,11.945612974848768,1627,3247,0,0,1.4367256637168142,1
2025-08-29T03:26:25.012614,SUCCESS,0.1,25,1627,2712,42882.08637938894,26425.498523678536,34010.161171041844,270742.66242452763,12.561803472890992,1627,4226,0,0,1.558259587020649,1
2025-08-29T03:26:26.081247,SUCCESS,0.2,25,904,1989,30839.110840196947,38833.49003028234,41095.49338466122,333512.65189237025,12.32201931515431,904,1989,0,0,1.0,1
2025-08-29T03:26:27.032471,SUCCESS,0.2,25,904,2260,28508.917107090125,31518.230985738304,34643.17531195649,277645.45111434837,12.47748708754774,904,2260,0,0,1.0,1
2025-08-29T03:26:28.058818,SUCCESS,0.2,25,904,2712,28820.15178041756,29548.16468253533,31536.10736655757,264477.45633858244,11.923930229495717,904,3513,0,0,1.295353982300885,1
2025-08-29T03:26:29.205628,SUCCESS,0.2,25,1356,1989,27022.904717095967,33637.12003705368,34576.43805648969,289505.6496935677,11.94326884227915,1356,1989,0,0,1.0,1
2025-08-29T03:26:30.316768,SUCCESS,0.2,25,1356,2260,27444.23095184613,27897.88002859445,33272.31571694524,250173.62210385338,13.29968980627904,1356,3381,0,0,1.4960176991150442,1
2025-08-29T03:26:31.432270,SUCCESS,0.2,25,1356,2712,27701.98414187732,28419.630925003974,32836.53596729304,254341.38475878246,12.910418018851017,1356,3282,0,0,1.2101769911504425,1
2025-08-29T03:26:32.588973,SUCCESS,0.2,25,1627,1989,49382.94274370977,35762.5917459712,39915.47872818959,349104.0277092179,11.433691839681872,1627,2441,0,0,1.227249874308698,1
2025-08-29T03:26:33.821151,SUCCESS,0.2,25,1627,2260,31241.97017034676,30026.15711748322,35588.55635946624,272667.0401630761,13.052019906102885,1627,3210,0,0,1.420353982300885,1
2025-08-29T03:26:35.065628,SUCCESS,0.2,25,1627,2712,29344.903552711556,27277.856080973794,31394.55665809696,249634.7996722397,12.57619398389837,1627,3693,0,0,1.3617256637168142,1
2025-08-29T03:26:36.137032,SUCCESS,0.25,25,904,1989,27525.24899324603,36419.664951849205,40341.95896121049,309988.1526494365,13.014032509440106,904,2615,0,0,1.3147310206133735,1
2025-08-29T03:26:37.168719,SUCCESS,0.25,25,904,2260,29912.460478102515,28144.3881836762,32380.43160975347,256835.63824193843,12.607452700645538,904,2819,0,0,1.247345132743363,1
2025-08-29T03:26:38.400738,SUCCESS,0.25,25,904,2712,38628.1540543969,29525.183206906335,35405.385731868715,283932.59055713814,12.469644876763025,904,3375,0,0,1.2444690265486726,1
2025-08-29T03:26:39.567788,SUCCESS,0.25,25,1356,1989,29823.343367447902,33358.96148778189,35596.01667666404,293159.417149369,12.142204750846311,1611,1989,0,0,1.0,1
2025-08-29T03:26:40.759611,SUCCESS,0.25,25,1356,2260,29219.677657506716,28157.874373914296,30975.18249821279,255544.4759324135,12.121249103582704,1356,3232,0,0,1.4300884955752213,1
2025-08-29T03:26:41.872648,SUCCESS,0.25,25,1356,2712,29130.908634051582,28790.3135088528,31308.368449795697,259794.01183007276,12.051227905235173,1356,3482,0,0,1.2839233038348083,1
2025-08-29T03:26:43.095372,SUCCESS,0.25,25,1627,1989,30622.56482676576,35135.69404549394,39241.086229562636,307194.9879719891,12.77399950064965,1627,2467,0,0,1.2403217697335345,1
2025-08-29T03:26:44.384997,SUCCESS,0.25,25,1627,2260,56192.687271932875,28279.890422377935,30856.389484210442,310344.6075005113,9.942621440316023,1627,3744,0,0,1.656637168141593,1
2025-08-29T03:26:45.540431,SUCCESS,0.25,25,1627,2712,33418.33701451429,30462.349881277787,34722.79255921404,280073.12319797307,12.39775961460958,1627,4139,0,0,1.52617994100295,1
2025-08-29T03:26:47.329567,SUCCESS,0.05,50,452,994,22267.28289158966,23492.029713479336,26595.35855055948,208978.77377753466,12.726344436718334,625,1340,0,0,1.3480885311871227,1
